,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00235094,N.A.,N.A.
WBGene00235095,N.A.,N.A.
WBGene00235096,N.A.,N.A.
WBGene00235097,N.A.,N.A.
WBGene00235098,N.A.,N.A.
WBGene00235099,N.A.,N.A.
WBGene00235100,N.A.,N.A.
WBGene00235101,N.A.,N.A.
WBGene00235102,"early embryonic lethal, embryonic lethal",N.A.
WBGene00235106,N.A.,N.A.
WBGene00235107,N.A.,N.A.
WBGene00235108,N.A.,N.A.
WBGene00235109,"reduced brood size, sterile progeny",associative memory defective
WBGene00235110,N.A.,N.A.
WBGene00235111,N.A.,N.A.
WBGene00235112,N.A.,N.A.
WBGene00235113,N.A.,N.A.
WBGene00235114,N.A.,N.A.
WBGene00235115,N.A.,N.A.
WBGene00235116,N.A.,N.A.
WBGene00235117,N.A.,N.A.
WBGene00235118,N.A.,N.A.
WBGene00235119,N.A.,N.A.
WBGene00235120,"dauer lifespan extended, fat content increased",N.A.
WBGene00235121,N.A.,N.A.
WBGene00235122,"axon branching variant, locomotion variant",N.A.
WBGene00235123,"axon outgrowth variant, neurite morphology variant",N.A.
WBGene00235124,N.A.,N.A.
WBGene00235128,N.A.,N.A.
WBGene00235129,N.A.,N.A.
WBGene00235132,N.A.,N.A.
WBGene00235133,N.A.,N.A.
WBGene00235134,N.A.,N.A.
WBGene00235138,N.A.,N.A.
WBGene00235139,N.A.,N.A.
WBGene00235143,N.A.,N.A.
WBGene00235146,N.A.,N.A.
WBGene00235147,N.A.,N.A.
WBGene00235148,N.A.,N.A.
WBGene00235150,N.A.,N.A.
WBGene00235151,N.A.,N.A.
WBGene00235152,N.A.,N.A.
WBGene00235153,N.A.,N.A.
WBGene00235157,N.A.,N.A.
WBGene00235158,N.A.,N.A.
WBGene00235159,N.A.,N.A.
WBGene00235160,N.A.,N.A.
WBGene00235161,N.A.,N.A.
WBGene00235162,N.A.,N.A.
WBGene00235163,N.A.,N.A.
WBGene00235164,N.A.,N.A.
WBGene00235165,N.A.,N.A.
WBGene00235166,N.A.,N.A.
WBGene00235167,N.A.,N.A.
WBGene00235175,N.A.,N.A.
WBGene00235179,N.A.,N.A.
WBGene00235180,N.A.,N.A.
WBGene00235181,N.A.,N.A.
WBGene00235183,N.A.,N.A.
WBGene00235188,N.A.,N.A.
WBGene00235190,N.A.,N.A.
WBGene00235197,dauer lifespan extended,N.A.
WBGene00235198,short defecation cycle,N.A.
WBGene00235200,N.A.,N.A.
WBGene00235201,N.A.,N.A.
WBGene00235206,N.A.,N.A.
WBGene00235209,N.A.,N.A.
WBGene00235235,N.A.,N.A.
WBGene00235237,N.A.,N.A.
WBGene00235247,N.A.,N.A.
WBGene00235250,N.A.,N.A.
WBGene00235251,N.A.,N.A.
WBGene00235252,N.A.,N.A.
WBGene00235254,N.A.,N.A.
WBGene00235255,transgene expression reduced,N.A.
WBGene00235256,N.A.,N.A.
WBGene00235257,N.A.,N.A.
WBGene00235258,N.A.,N.A.
WBGene00235259,N.A.,N.A.
WBGene00235260,N.A.,N.A.
WBGene00235261,N.A.,N.A.
WBGene00235262,N.A.,N.A.
WBGene00235263,N.A.,N.A.
WBGene00235264,N.A.,N.A.
WBGene00235265,"dauer lifespan extended, multivulva",N.A.
WBGene00235266,N.A.,N.A.
WBGene00235267,cell death variant,N.A.
WBGene00235268,N.A.,N.A.
WBGene00235269,embryonic lethal,N.A.
WBGene00235270,N.A.,N.A.
WBGene00235271,dauer lifespan extended,N.A.
WBGene00235272,N.A.,N.A.
WBGene00235273,N.A.,N.A.
WBGene00235274,N.A.,N.A.
WBGene00235275,N.A.,N.A.
WBGene00235276,N.A.,N.A.
WBGene00235277,N.A.,N.A.
WBGene00235278,N.A.,N.A.
WBGene00235279,no induction of antimicrobial peptide expression after infection,N.A.
WBGene00235280,N.A.,N.A.
WBGene00235281,N.A.,N.A.
WBGene00235282,N.A.,N.A.
WBGene00235283,N.A.,N.A.
WBGene00235284,N.A.,N.A.
WBGene00235285,N.A.,N.A.
WBGene00235286,N.A.,N.A.
WBGene00235287,N.A.,N.A.
WBGene00235288,N.A.,N.A.
WBGene00235289,N.A.,N.A.
WBGene00235290,N.A.,N.A.
WBGene00235291,N.A.,N.A.
WBGene00235292,N.A.,N.A.
WBGene00235293,N.A.,N.A.
WBGene00235294,N.A.,N.A.
WBGene00235295,N.A.,N.A.
WBGene00235296,N.A.,N.A.
WBGene00235297,N.A.,N.A.
WBGene00235298,N.A.,N.A.
WBGene00235299,N.A.,N.A.
WBGene00235300,N.A.,N.A.
WBGene00235301,N.A.,N.A.
WBGene00235302,N.A.,N.A.
WBGene00235303,N.A.,N.A.
WBGene00235304,N.A.,N.A.
WBGene00235305,N.A.,N.A.
WBGene00235307,N.A.,N.A.
WBGene00235308,N.A.,N.A.
WBGene00235309,N.A.,N.A.
WBGene00235310,extended life span,N.A.
WBGene00235311,N.A.,N.A.
WBGene00235312,N.A.,N.A.
WBGene00235313,N.A.,N.A.
WBGene00235314,N.A.,N.A.
WBGene00235315,N.A.,N.A.
WBGene00235316,N.A.,N.A.
WBGene00235317,N.A.,N.A.
WBGene00235318,N.A.,N.A.
WBGene00235319,N.A.,N.A.
WBGene00235320,N.A.,N.A.
WBGene00235321,N.A.,N.A.
WBGene00235322,"body wall muscle myosin organization defective, body wall muscle sarcomere morphology variant, locomotion reduced, mitochondria morphology variant, protein degradation variant",Pluronic gel burrowing impaired
WBGene00235323,N.A.,N.A.
WBGene00235324,N.A.,N.A.
WBGene00235325,N.A.,N.A.
WBGene00235326,N.A.,N.A.
WBGene00235327,N.A.,N.A.
WBGene00235328,N.A.,N.A.
WBGene00235329,N.A.,N.A.
WBGene00235330,N.A.,N.A.
WBGene00235331,N.A.,"lethal, sterile"
WBGene00235332,N.A.,N.A.
WBGene00235333,N.A.,N.A.
WBGene00235334,rays displaced,N.A.
WBGene00235335,N.A.,N.A.
WBGene00235336,N.A.,N.A.
WBGene00235337,N.A.,N.A.
WBGene00235338,N.A.,N.A.
WBGene00235339,N.A.,N.A.
WBGene00235340,N.A.,N.A.
WBGene00235341,N.A.,N.A.
WBGene00235342,N.A.,N.A.
WBGene00235343,N.A.,N.A.
WBGene00235346,N.A.,N.A.
WBGene00235348,N.A.,N.A.
WBGene00235350,N.A.,N.A.
WBGene00235351,N.A.,N.A.
WBGene00235352,N.A.,N.A.
WBGene00235353,N.A.,N.A.
WBGene00235354,N.A.,N.A.
WBGene00235355,N.A.,N.A.
WBGene00235356,N.A.,N.A.
WBGene00235357,N.A.,N.A.
WBGene00235358,N.A.,N.A.
WBGene00235359,N.A.,N.A.
WBGene00235361,N.A.,N.A.
WBGene00235362,N.A.,N.A.
WBGene00235363,N.A.,N.A.
WBGene00235364,fat content increased,N.A.
WBGene00235365,N.A.,N.A.
WBGene00235366,N.A.,N.A.
WBGene00235367,N.A.,N.A.
WBGene00235368,N.A.,N.A.
WBGene00235369,N.A.,N.A.
WBGene00235370,N.A.,N.A.
WBGene00235371,N.A.,N.A.
WBGene00235372,N.A.,N.A.
WBGene00235373,N.A.,N.A.
WBGene00235374,N.A.,N.A.
WBGene00235375,N.A.,N.A.
WBGene00235376,N.A.,N.A.
WBGene00235377,N.A.,N.A.
WBGene00235378,N.A.,N.A.
WBGene00235379,N.A.,N.A.
WBGene00235380,N.A.,N.A.
WBGene00235381,N.A.,N.A.
WBGene00235382,N.A.,N.A.
WBGene00235383,N.A.,N.A.
WBGene00235385,N.A.,N.A.
WBGene00235386,N.A.,N.A.
WBGene00235387,N.A.,N.A.
WBGene00235388,N.A.,N.A.
WBGene00235389,N.A.,N.A.
WBGene00235390,N.A.,N.A.
WBGene00235391,N.A.,N.A.
WBGene00236785,"embryonic lethal, larval arrest, sterile",N.A.
WBGene00236786,N.A.,N.A.
WBGene00236787,N.A.,N.A.
WBGene00236788,N.A.,N.A.
WBGene00236789,N.A.,N.A.
WBGene00236797,N.A.,N.A.
WBGene00236798,N.A.,N.A.
WBGene00236799,N.A.,N.A.
WBGene00236800,N.A.,N.A.
WBGene00236806,N.A.,N.A.
WBGene00236807,N.A.,N.A.
WBGene00236808,N.A.,N.A.
WBGene00236809,N.A.,N.A.
WBGene00249808,N.A.,N.A.
WBGene00249812,N.A.,N.A.
WBGene00249813,N.A.,N.A.
WBGene00249814,N.A.,N.A.
WBGene00249815,N.A.,N.A.
WBGene00249816,N.A.,N.A.
WBGene00249817,N.A.,N.A.
WBGene00249825,N.A.,N.A.
WBGene00249826,N.A.,N.A.
WBGene00255375,N.A.,N.A.
WBGene00255420,N.A.,N.A.
WBGene00255426,N.A.,N.A.
WBGene00255435,N.A.,N.A.
WBGene00255441,N.A.,N.A.
WBGene00255457,N.A.,N.A.
WBGene00255469,N.A.,N.A.
WBGene00255522,N.A.,N.A.
WBGene00255543,N.A.,N.A.
WBGene00255545,N.A.,N.A.
WBGene00255546,N.A.,N.A.
WBGene00255549,N.A.,N.A.
WBGene00255550,N.A.,N.A.
WBGene00255553,N.A.,N.A.
WBGene00255560,N.A.,N.A.
WBGene00255561,N.A.,N.A.
WBGene00255562,N.A.,N.A.
WBGene00255563,N.A.,N.A.
WBGene00255564,N.A.,N.A.
WBGene00255565,N.A.,"acidification level defective, defecation variant, expulsion variant, intestinal calcium signaling variant, intestinal contractions variant, long defecation cycle, posterior body wall contraction defecation cycle variant"
WBGene00255566,N.A.,N.A.
WBGene00255567,N.A.,N.A.
WBGene00255568,N.A.,N.A.
WBGene00255569,embryonic lethal,N.A.
WBGene00255570,N.A.,aldicarb hypersensitive
WBGene00255571,N.A.,N.A.
WBGene00255572,N.A.,N.A.
WBGene00255573,N.A.,N.A.
WBGene00255574,N.A.,N.A.
WBGene00255575,N.A.,N.A.
WBGene00255576,N.A.,N.A.
WBGene00255577,"cell division variant, cytokinesis variant emb, embryonic lethal, engulfment variant, larval arrest, larval lethal, left right handedness variant, lethal, maternal sterile, paralyzed, protruding vulva, reduced brood size, sick, sterile, sterile progeny","backing uncoordinated, egg laying variant"
WBGene00255578,reduced brood size,N.A.
WBGene00255579,N.A.,N.A.
WBGene00255580,N.A.,N.A.
WBGene00255581,N.A.,N.A.
WBGene00255582,N.A.,N.A.
WBGene00255583,N.A.,N.A.
WBGene00255584,N.A.,N.A.
WBGene00255586,N.A.,N.A.
WBGene00255587,N.A.,N.A.
WBGene00255588,N.A.,N.A.
WBGene00255594,N.A.,N.A.
WBGene00255595,N.A.,N.A.
WBGene00255596,N.A.,N.A.
WBGene00255597,N.A.,N.A.
WBGene00255598,N.A.,N.A.
WBGene00255600,N.A.,"progressive muscle detachment, progressive paralysis"
WBGene00255605,"lysosome-related organelle morphology variant, RAB-11 recycling endosome localization variant, RAB-11 recycling endosome morphology variant, transgene subcellular localization variant",N.A.
WBGene00255606,N.A.,N.A.
WBGene00255607,N.A.,N.A.
WBGene00255611,N.A.,N.A.
WBGene00255702,N.A.,N.A.
WBGene00255703,N.A.,N.A.
WBGene00255704,N.A.,N.A.
WBGene00255709,N.A.,N.A.
WBGene00255714,"fewer germ cells, larval arrest, no oocytes, nuclear appearance variant",N.A.
WBGene00255715,N.A.,N.A.
WBGene00255716,N.A.,N.A.
WBGene00255717,N.A.,N.A.
WBGene00255728,N.A.,N.A.
WBGene00255729,N.A.,N.A.
WBGene00255730,N.A.,N.A.
WBGene00255731,N.A.,N.A.
WBGene00255732,N.A.,N.A.
WBGene00255733,N.A.,N.A.
WBGene00255734,N.A.,N.A.
WBGene00255735,N.A.,N.A.
WBGene00255736,"apoptosis fails to occur, apoptosis reduced, avoids bacterial lawn, cell membrane organization biogenesis variant, diplotene absent during oogenesis, dumpy, early larval arrest, embryonic lethal, embryonic terminal arrest variable emb, extended life span, germ cell compartment expansion absent, germ cell compartment expansion variant, germ cell compartment morphology variant, gonad small, gonad vesiculated, larval arrest, larval lethal, locomotion variant, maternal sterile, no induction of antimicrobial peptide expression after infection, no oocytes, nuclei small, oocyte number decreased, pachytene progression during oogenesis variant, pachytene region organization variant, pathogen resistance increased, pleiotropic defects severe early emb, protein aggregation variant, rachis absent, rachis morphology variant, rachis narrow, sick, slow development, slow growth, terminal arrest variable, transgene subcellular localization variant",N.A.
WBGene00268189,N.A.,N.A.
WBGene00268190,N.A.,N.A.
WBGene00268191,N.A.,N.A.
WBGene00268192,N.A.,N.A.
WBGene00268193,N.A.,N.A.
WBGene00268194,N.A.,N.A.
WBGene00268195,N.A.,N.A.
WBGene00268196,N.A.,N.A.
WBGene00268197,N.A.,N.A.
WBGene00268198,N.A.,N.A.
WBGene00268199,N.A.,N.A.
WBGene00268202,N.A.,N.A.
WBGene00268203,N.A.,N.A.
WBGene00268204,N.A.,N.A.
WBGene00268205,N.A.,N.A.
WBGene00268206,N.A.,N.A.
WBGene00268207,N.A.,N.A.
WBGene00268208,N.A.,N.A.
WBGene00268209,N.A.,N.A.
WBGene00268210,N.A.,N.A.
WBGene00268211,N.A.,N.A.
WBGene00268212,N.A.,N.A.
WBGene00268213,N.A.,N.A.
WBGene00268214,N.A.,N.A.
WBGene00268215,N.A.,N.A.
WBGene00268216,N.A.,N.A.
WBGene00269331,N.A.,N.A.
WBGene00269332,N.A.,N.A.
WBGene00269333,N.A.,N.A.
WBGene00269336,N.A.,N.A.
WBGene00269337,N.A.,N.A.
WBGene00269338,N.A.,N.A.
WBGene00269346,N.A.,N.A.
WBGene00269352,N.A.,N.A.
WBGene00269355,N.A.,N.A.
WBGene00269373,N.A.,N.A.
WBGene00269376,N.A.,N.A.
WBGene00269378,N.A.,N.A.
WBGene00269379,N.A.,N.A.
WBGene00269380,N.A.,N.A.
WBGene00269381,N.A.,N.A.
WBGene00269382,N.A.,N.A.
WBGene00269383,N.A.,N.A.
WBGene00269384,"cortical dynamics defective early emb, embryonic lethal",N.A.
WBGene00269385,N.A.,N.A.
WBGene00269386,N.A.,N.A.
WBGene00269387,N.A.,N.A.
WBGene00269388,N.A.,N.A.
WBGene00269389,N.A.,N.A.
WBGene00269390,N.A.,N.A.
WBGene00269391,embryonic lethal,N.A.
WBGene00269392,N.A.,"neuron degeneration variant, pathogen resistance increased"
WBGene00269393,N.A.,N.A.
WBGene00269394,N.A.,N.A.
WBGene00269419,N.A.,N.A.
WBGene00269420,N.A.,N.A.
WBGene00269421,N.A.,N.A.
WBGene00269422,N.A.,N.A.
WBGene00269423,N.A.,N.A.
WBGene00269424,N.A.,N.A.
WBGene00269425,N.A.,N.A.
WBGene00269426,N.A.,N.A.
WBGene00269427,N.A.,N.A.
WBGene00269428,N.A.,N.A.
WBGene00269429,N.A.,N.A.
WBGene00269430,N.A.,N.A.
WBGene00269431,N.A.,N.A.
WBGene00269432,extended life span,N.A.
WBGene00269433,N.A.,N.A.
WBGene00269434,N.A.,N.A.
WBGene00269435,N.A.,N.A.
WBGene00269436,N.A.,N.A.
WBGene00269437,N.A.,N.A.
WBGene00269438,N.A.,N.A.
WBGene00270290,N.A.,N.A.
WBGene00270291,N.A.,N.A.
WBGene00270292,N.A.,N.A.
WBGene00270293,male mating defective,N.A.
WBGene00270296,N.A.,N.A.
WBGene00270297,N.A.,N.A.
WBGene00270298,N.A.,N.A.
WBGene00270299,N.A.,N.A.
WBGene00270300,N.A.,N.A.
WBGene00270302,N.A.,N.A.
WBGene00270303,larval arrest,N.A.
WBGene00270309,body wall muscle myosin organization defective,N.A.
WBGene00270310,N.A.,N.A.
WBGene00270318,N.A.,N.A.
WBGene00270319,N.A.,N.A.
WBGene00270320,N.A.,N.A.
WBGene00270321,organism pathogen response variant,N.A.
WBGene00270322,"cytokinesis fails early emb, embryonic lethal, multiple nuclei early emb, polar body extrusion defective early emb, protein subcellular localization variant, spindle defective early emb, transgene expression reduced",N.A.
WBGene00271414,N.A.,N.A.
WBGene00271415,N.A.,N.A.
WBGene00271437,N.A.,N.A.
WBGene00271444,N.A.,N.A.
WBGene00271567,N.A.,N.A.
WBGene00271577,N.A.,N.A.
WBGene00271598,N.A.,N.A.
WBGene00271605,N.A.,N.A.
WBGene00271606,N.A.,N.A.
WBGene00271632,"cell cycle timing defective early emb, cell position defective, division axis defective, embryonic lethal",N.A.
WBGene00271633,N.A.,N.A.
WBGene00271634,N.A.,N.A.
WBGene00271635,"embryonic lethal, larval arrest, lethal, maternal sterile, protruding vulva, reduced brood size, sick, small, sterile, thin",N.A.
WBGene00271636,N.A.,N.A.
WBGene00271637,embryonic lethal,N.A.
WBGene00271638,embryonic lethal,N.A.
WBGene00271639,N.A.,N.A.
WBGene00271640,N.A.,N.A.
WBGene00271641,larval arrest,N.A.
WBGene00271642,locomotion variant,N.A.
WBGene00271643,N.A.,N.A.
WBGene00271644,N.A.,N.A.
WBGene00271645,"body wall muscle myosin organization defective, maternal sterile",N.A.
WBGene00271646,N.A.,N.A.
WBGene00271647,N.A.,N.A.
WBGene00271648,N.A.,N.A.
WBGene00271649,N.A.,N.A.
WBGene00271650,N.A.,N.A.
WBGene00271651,N.A.,N.A.
WBGene00271652,N.A.,N.A.
WBGene00271653,N.A.,N.A.
WBGene00271654,N.A.,N.A.
WBGene00271655,dauer lifespan extended,N.A.
WBGene00271656,"accumulated germline cell corpses, apoptosis increased, apoptosis variant, cell membrane organization biogenesis variant, complex phenotype early emb, diplotene progression during oogenesis variant, embryonic lethal, extended life span, germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell compartment multinucleate, germ cell compartment size variant, germline nuclear positioning variant, gonad vesiculated, maternal sterile, mitochondrial membrane potential reduced, no oocytes, nuclear appearance variant, nuclei small, oocyte morphology variant, oocyte number decreased, oocytes small, pachytene region organization variant, pleiotropic defects severe early emb, rachis morphology variant, rachis narrow, sterile, sterile F1, sterile progeny","lethal, sterile"
WBGene00271657,"clear, dauer lifespan extended, embryonic lethal, sick, slow growth",N.A.
WBGene00271694,N.A.,"lethal, sterile"
WBGene00271701,N.A.,N.A.
WBGene00271703,N.A.,N.A.
WBGene00271706,N.A.,N.A.
WBGene00271707,N.A.,N.A.
WBGene00271715,N.A.,N.A.
WBGene00271716,N.A.,N.A.
WBGene00271744,"embryonic lethal, sterile progeny",N.A.
WBGene00271774,"larval arrest, slow growth, sterile progeny",N.A.
WBGene00271775,cell development variant,N.A.
WBGene00271776,"blistered, clear, cuticle morphology variant, dumpy, egg retention, extracellular matrix variant, locomotion variant, paralyzed, struts variant",N.A.
WBGene00271777,N.A.,N.A.
WBGene00271778,N.A.,N.A.
WBGene00271779,N.A.,N.A.
WBGene00271780,N.A.,N.A.
WBGene00271781,"distal tip cell migration variant, embryonic lethal, sick, small",N.A.
WBGene00271786,N.A.,N.A.
WBGene00271788,N.A.,N.A.
WBGene00271789,N.A.,N.A.
WBGene00271790,N.A.,N.A.
WBGene00271791,N.A.,N.A.
WBGene00271792,N.A.,N.A.
WBGene00271795,transgene induced cosuppression variant,N.A.
WBGene00271796,N.A.,N.A.
WBGene00271797,N.A.,N.A.
WBGene00271798,chemical response variant,N.A.
WBGene00271799,N.A.,N.A.
WBGene00271800,N.A.,N.A.
WBGene00271801,N.A.,N.A.
WBGene00271802,N.A.,N.A.
WBGene00271803,N.A.,N.A.
WBGene00271804,N.A.,N.A.
WBGene00271805,N.A.,N.A.
WBGene00271806,N.A.,N.A.
WBGene00271807,N.A.,N.A.
WBGene00271808,dauer lifespan extended,N.A.
WBGene00271809,N.A.,N.A.
WBGene00271810,N.A.,"lethal, sterile"
WBGene00271811,N.A.,dye filling defect
WBGene00271813,N.A.,N.A.
WBGene00271815,dauer lifespan extended,N.A.
WBGene00271816,N.A.,N.A.
WBGene00271817,"fat content reduced, sterile",N.A.
WBGene00271818,body wall muscle myosin organization defective,N.A.
WBGene00271819,N.A.,N.A.
WBGene00271820,N.A.,N.A.
WBGene00271821,N.A.,N.A.
WBGene00271822,"embryonic lethal, pleiotropic defects severe early emb",N.A.
WBGene00271823,N.A.,N.A.
WBGene00271824,N.A.,N.A.
WBGene00271825,N.A.,N.A.
WBGene00271826,N.A.,N.A.
WBGene00271827,N.A.,N.A.
WBGene00271828,N.A.,N.A.
WBGene00271829,N.A.,N.A.
WBGene00271830,N.A.,N.A.
WBGene00271831,N.A.,N.A.
WBGene00271832,N.A.,N.A.
WBGene00271837,N.A.,N.A.
WBGene00271851,"approximate vulval location variant, male response to contact defective, vulva location variant",N.A.
WBGene00284844,N.A.,N.A.
WBGene00284845,N.A.,N.A.
WBGene00284846,N.A.,N.A.
WBGene00284847,N.A.,N.A.
WBGene00284848,N.A.,N.A.
WBGene00284849,N.A.,N.A.
WBGene00284850,N.A.,N.A.
WBGene00284851,N.A.,N.A.
WBGene00284852,slow recovery from starvation-induced L1 arrest,N.A.
WBGene00284853,N.A.,N.A.
WBGene00284854,N.A.,N.A.
WBGene00284855,N.A.,N.A.
WBGene00284856,N.A.,N.A.
WBGene00284857,N.A.,N.A.
WBGene00284858,N.A.,N.A.
WBGene00284859,N.A.,N.A.
WBGene00284861,N.A.,N.A.
WBGene00284867,N.A.,N.A.
WBGene00302964,"embryonic lethal, locomotion variant, maternal sterile, protruding vulva, slow growth, sterile progeny",N.A.
WBGene00302968,"larval arrest, organism hypersensitive ionizing radiation, patchy coloration, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth",N.A.
WBGene00302971,"embryonic lethal, larval arrest, oocyte morphology variant, oocyte number decreased, passage through meiosis defective early emb, sterile",N.A.
WBGene00302974,growth variant,N.A.
WBGene00302976,N.A.,N.A.
WBGene00302978,N.A.,N.A.
WBGene00302980,"actin cytoskeleton dynamics phenotype, actin organization biogenesis phenotype, aging variant, avoids bacterial lawn, body wall muscle morphology variant, body wall muscle sarcomere morphology variant, cell corpse number decreased, embryonic lethal, engulfment variant, germ cell morphology variant, gonad development variant, growth variant, larval lethal, locomotion reduced, locomotion variant, male gonad development variant, male somatic gonad development variant, maternal sterile, mitochondria alignment variant, pattern of transgene expression variant, protein subcellular localization variant, protruding vulva, RAB-11 recycling endosome localization variant, rays displaced, reduced brood size, shortened life span, sick, slow growth, sterile, transgene subcellular localization variant","early larval lethal, late larval lethal"
WBGene00302982,N.A.,N.A.
WBGene00302984,"apoptosis reduced, clear, distal tip cell migration variant, egg laying variant, embryo osmotic integrity defective early emb, embryonic lethal, exploded through vulva, germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell compartment multinucleate, germ cell compartment size variant, germline nuclear positioning variant, larval arrest, locomotion variant, oocyte number decreased, oogenesis variant, rachis morphology variant, rachis narrow, slow growth, sterile",N.A.
WBGene00302986,transgene expression reduced,N.A.
WBGene00302988,N.A.,N.A.
WBGene00302991,N.A.,N.A.
WBGene00302993,"annulae morphology variant, antimicrobial gene expression increased, chemical accumulation increased, clear, cuticle morphology variant, cuticle permeability increased, dumpy, egg laying defective, larval arrest, locomotion variant, organism development variant, organism osmotic stress resistant, organism osmotic stress response variant, organism stress response variant, paralyzed, paraquat hypersensitive, patchy coloration, protein degradation variant, sluggish, small, transgene expression increased","alae morphology variant, annulae morphology variant, antimicrobial gene expression increased, chemical hypersensitive, cuticle fragile, cuticle morphology variant, cuticle permeability increased, dumpy, gene expression level high, helical cuticle, left handed roller, levamisole hypersensitive, metabolite content increased, mRNA splicing variant, organism homeostasis metabolism variant, organism oxidative stress response hypersensitive, organism stress response variant, paraquat hypersensitive, pathogen resistance increased, pattern of transgene expression variant, reduced viability after freezing, struts variant, transgene expression increased"
WBGene00302995,N.A.,N.A.
WBGene00302998,"embryonic lethal, lethal, maternal sterile",N.A.
WBGene00303000,larval arrest,N.A.
WBGene00303002,"oogenesis variant, sterile progeny",N.A.
WBGene00303005,N.A.,"chemical response variant, embryonic lethal, L3 arrest"
WBGene00303007,"avoids bacterial lawn, chemical resistant, embryonic lethal, extended life span, foraging behavior variant, larval arrest, mRNA levels increased, no induction of antimicrobial peptide expression after infection, paraquat resistant, slow growth, sterile, transgene expression increased",N.A.
WBGene00303009,"embryonic lethal, larval arrest, mitochondria morphology variant, pattern of transgene expression variant, receptor mediated endocytosis defective, sick, slow growth, small, sterile progeny",N.A.
WBGene00303011,N.A.,N.A.
WBGene00303013,N.A.,N.A.
WBGene00303015,N.A.,"AWB morphology variant, cilia mislocalized, cilia morphology variant, intraflagellar transport accelerated, male response to hermaphrodite variant, transgene subcellular localization variant, vulva location variant"
WBGene00303019,N.A.,N.A.
WBGene00303021,"embryonic lethal, extended life span, reduced brood size, transgene expression increased",N.A.
WBGene00303023,N.A.,N.A.
WBGene00303024,N.A.,N.A.
WBGene00303026,"embryonic lethal, protein aggregation variant",N.A.
WBGene00303028,N.A.,N.A.
WBGene00303030,N.A.,N.A.
WBGene00303031,N.A.,N.A.
WBGene00303032,N.A.,N.A.
WBGene00303033,N.A.,N.A.
WBGene00303034,N.A.,N.A.
WBGene00303035,N.A.,N.A.
WBGene00303036,N.A.,N.A.
WBGene00303037,N.A.,N.A.
WBGene00303038,N.A.,N.A.
WBGene00303039,N.A.,N.A.
WBGene00303040,N.A.,N.A.
WBGene00303041,N.A.,N.A.
WBGene00303042,N.A.,N.A.
WBGene00303043,N.A.,N.A.
WBGene00303044,N.A.,N.A.
WBGene00303045,N.A.,N.A.
WBGene00303046,N.A.,N.A.
WBGene00303047,N.A.,N.A.
WBGene00303048,N.A.,N.A.
WBGene00303049,N.A.,N.A.
WBGene00303050,N.A.,N.A.
WBGene00303051,N.A.,N.A.
WBGene00303052,N.A.,N.A.
WBGene00303053,N.A.,N.A.
WBGene00303054,N.A.,N.A.
WBGene00303055,N.A.,N.A.
WBGene00303056,N.A.,N.A.
WBGene00303057,N.A.,N.A.
WBGene00303058,"axon fasciculation variant, axon midline crossing variant, cord commissures fail to reach target, dendrite development variant, locomotion variant, ventral cord patterning variant",N.A.
WBGene00303059,N.A.,N.A.
WBGene00303060,N.A.,N.A.
WBGene00303061,N.A.,N.A.
WBGene00303062,N.A.,N.A.
WBGene00303063,N.A.,N.A.
WBGene00303064,N.A.,N.A.
WBGene00303065,N.A.,N.A.
WBGene00303066,N.A.,N.A.
WBGene00303067,N.A.,N.A.
WBGene00303068,N.A.,N.A.
WBGene00303069,N.A.,N.A.
WBGene00303070,N.A.,N.A.
WBGene00303071,N.A.,N.A.
WBGene00303072,N.A.,N.A.
WBGene00303073,"age associated fluorescence increased, diet induced life span variant, life span phenotype, organism starvation response variant, shortened life span",N.A.
WBGene00303074,N.A.,N.A.
WBGene00303075,N.A.,N.A.
WBGene00303076,N.A.,N.A.
WBGene00303077,N.A.,N.A.
WBGene00303078,N.A.,N.A.
WBGene00303079,N.A.,N.A.
WBGene00303080,N.A.,N.A.
WBGene00303081,N.A.,"bacterially unswollen, drug hypersensitive, larval lethal, nicotine hypersensitive, skiddy"
WBGene00303082,N.A.,N.A.
WBGene00303083,N.A.,N.A.
WBGene00303085,N.A.,N.A.
WBGene00303086,N.A.,N.A.
WBGene00303087,N.A.,N.A.
WBGene00303088,N.A.,N.A.
WBGene00303089,N.A.,N.A.
WBGene00303090,N.A.,N.A.
WBGene00303091,N.A.,N.A.
WBGene00303092,N.A.,N.A.
WBGene00303093,N.A.,N.A.
WBGene00303094,N.A.,N.A.
WBGene00303095,N.A.,N.A.
WBGene00303096,N.A.,N.A.
WBGene00303097,N.A.,N.A.
WBGene00303098,N.A.,N.A.
WBGene00303099,N.A.,N.A.
WBGene00303100,"larval arrest, patchy coloration, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth, sterile progeny",N.A.
WBGene00303101,N.A.,N.A.
WBGene00303102,N.A.,N.A.
WBGene00303103,N.A.,N.A.
WBGene00303104,N.A.,"lethal, sterile"
WBGene00303105,"embryonic lethal, larval arrest, larval lethal, organism development variant, organism oxidative stress resistant, transgene expression increased",N.A.
WBGene00303113,oocyte number decreased,"oocyte number decreased, reduced brood size"
WBGene00303114,N.A.,N.A.
